game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
5,2009-05-05,ECS,1,CLE,ATL,W (+27),34,12,20,0.6,2,6,0.333,8,9,0.889,3,7,10,3,4,0,3,34,31.7,13
6,2009-05-07,ECS,2,CLE,ATL,W (+20),31,9,14,0.643,3,5,0.6,6,12,0.5,0,3,3,5,4,1,0,27,27.1,23
7,2009-05-09,ECS,3,CLE,ATL,W (+15),43,15,25,0.6,5,10,0.5,12,16,0.75,2,10,12,8,1,1,1,47,43.8,26
8,2009-05-11,ECS,4,CLE,ATL,W (+10),43,9,22,0.409,3,6,0.5,6,9,0.667,0,8,8,8,1,0,3,27,18.8,1
9,2009-05-20,ECF,1,CLE,ORL,L (-1),41,20,30,0.667,3,6,0.5,6,10,0.6,3,3,6,8,2,3,2,49,44.7,7
10,2009-05-22,ECF,2,CLE,ORL,W (+1),43,12,23,0.522,1,3,0.333,10,12,0.833,2,2,4,5,1,0,6,35,22.2,-7
11,2009-05-24,ECF,3,CLE,ORL,L (-10),42,11,28,0.393,1,8,0.125,18,24,0.75,0,7,7,9,2,1,2,41,31.3,-12
12,2009-05-26,ECF,4,CLE,ORL,L (-2),49,13,29,0.448,4,10,0.4,14,18,0.778,1,11,12,7,1,1,8,44,27.9,6
13,2009-05-28,ECF,5,CLE,ORL,W (+10),46,11,24,0.458,0,2,0,15,19,0.789,3,11,14,12,1,1,4,37,33.3,11
14,2009-05-30,ECF,6,CLE,ORL,L (-13),45,8,20,0.4,2,8,0.25,7,11,0.636,1,6,7,7,0,1,3,25,16.1,-12
1,2010-04-17,EC1,1,CLE,CHI,W (+13),40,9,19,0.474,0,1,0,6,7,0.857,0,6,6,5,1,4,3,24,19.2,19
2,2010-04-19,EC1,2,CLE,CHI,W (+10),41,16,23,0.696,2,4,0.5,6,6,1,1,7,8,8,1,2,2,40,38.3,6
3,2010-04-22,EC1,3,CLE,CHI,L (-2),44,14,26,0.538,4,8,0.5,7,13,0.538,2,8,10,8,2,3,5,39,31.3,5
4,2010-04-25,EC1,4,CLE,CHI,W (+23),36,11,17,0.647,6,9,0.667,9,10,0.9,0,12,12,11,2,1,2,37,39.9,29
5,2010-04-27,EC1,5,CLE,CHI,W (+2),43,5,12,0.417,1,2,0.5,8,14,0.571,3,7,10,9,0,2,3,19,18.7,1
6,2010-05-01,ECS,1,CLE,BOS,W (+8),43,12,24,0.5,3,6,0.5,8,11,0.727,2,5,7,7,3,2,2,35,31.6,7
7,2010-05-03,ECS,2,CLE,BOS,L (-18),41,7,15,0.467,0,4,0,10,15,0.667,0,7,7,4,3,2,5,24,18.2,-16
8,2010-05-07,ECS,3,CLE,BOS,W (+29),39,14,22,0.636,2,3,0.667,8,9,0.889,2,6,8,7,1,2,1,38,36.9,30
9,2010-05-09,ECS,4,CLE,BOS,L (-10),43,7,18,0.389,0,5,0,8,11,0.727,1,8,9,8,2,1,7,22,13.8,-10
10,2010-05-11,ECS,5,CLE,BOS,L (-32),42,3,14,0.214,0,4,0,9,12,0.75,1,5,6,7,1,0,3,15,9.1,-22
11,2010-05-13,ECS,6,CLE,BOS,L (-9),46,8,21,0.381,2,4,0.5,9,12,0.75,3,16,19,10,3,1,9,27,22.1,-5
1,2011-04-16,EC1,1,MIA,PHI,W (+8),43,4,14,0.286,0,2,0,13,14,0.929,4,10,14,5,1,3,2,21,21.6,4
2,2011-04-18,EC1,2,MIA,PHI,W (+21),39,10,19,0.526,1,1,1,8,10,0.8,1,6,7,6,0,0,0,29,25.2,24
3,2011-04-21,EC1,3,MIA,PHI,W (+6),44,8,15,0.533,1,4,0.25,7,10,0.7,1,14,15,6,1,0,1,24,24.2,8
4,2011-04-24,EC1,4,MIA,PHI,L (-4),44,11,20,0.55,0,4,0,9,11,0.818,2,5,7,6,1,1,1,31,27.6,-4
5,2011-04-27,EC1,5,MIA,PHI,W (+6),42,5,13,0.385,2,5,0.4,4,5,0.8,3,7,10,8,1,0,3,16,15.5,5
6,2011-05-01,ECS,1,MIA,BOS,W (+9),40,8,19,0.421,1,3,0.333,5,9,0.556,1,5,6,5,2,2,3,22,15.6,1
7,2011-05-03,ECS,2,MIA,BOS,W (+11),44,14,25,0.56,2,4,0.5,5,8,0.625,2,5,7,2,1,1,0,35,26.7,10
8,2011-05-07,ECS,3,MIA,BOS,L (-16),43,6,16,0.375,0,3,0,3,7,0.429,2,5,7,4,2,5,4,15,10.6,-21
9,2011-05-09,ECS,4,MIA,BOS,W (+8),50,12,28,0.429,2,6,0.333,9,9,1,3,11,14,3,3,0,5,35,24.5,7
10,2011-05-11,ECS,5,MIA,BOS,W (+10),46,11,20,0.55,5,7,0.714,6,9,0.667,2,5,7,4,1,1,5,33,24.2,14
11,2011-05-15,ECF,1,MIA,CHI,L (-21),41,5,15,0.333,1,3,0.333,4,4,1,1,5,6,6,2,3,4,15,12.2,-14
12,2011-05-18,ECF,2,MIA,CHI,W (+10),46,12,21,0.571,2,6,0.333,3,7,0.429,3,7,10,5,3,0,5,29,22,8
13,2011-05-22,ECF,3,MIA,CHI,W (+11),44,6,13,0.462,1,2,0.5,9,9,1,1,5,6,10,2,2,0,22,26.3,16
14,2011-05-24,ECF,4,MIA,CHI,W (+8),49,11,26,0.423,0,1,0,13,13,1,2,4,6,6,2,2,5,35,24.8,-1
15,2011-05-26,ECF,5,MIA,CHI,W (+3),46,8,19,0.421,3,6,0.5,9,11,0.818,0,11,11,6,3,2,4,28,24.2,8
16,2011-05-31,FIN,1,MIA,DAL,W (+8),45,9,16,0.563,4,5,0.8,2,2,1,0,9,9,5,1,0,1,24,21,9
17,2011-06-02,FIN,2,MIA,DAL,L (-2),40,8,15,0.533,2,7,0.286,2,4,0.5,1,7,8,4,4,1,5,20,15.6,-5
18,2011-06-05,FIN,3,MIA,DAL,W (+2),45,6,14,0.429,1,4,0.25,4,4,1,0,3,3,9,2,0,4,17,13.6,1
19,2011-06-07,FIN,4,MIA,DAL,L (-3),46,3,11,0.273,0,3,0,2,4,0.5,3,6,9,7,2,0,4,8,5.9,-6
20,2011-06-09,FIN,5,MIA,DAL,L (-9),46,8,19,0.421,0,4,0,1,2,0.5,1,9,10,10,0,1,4,17,12.4,-11
21,2011-06-12,FIN,6,MIA,DAL,L (-10),40,9,15,0.6,2,5,0.4,1,4,0.25,1,3,4,6,1,1,6,21,13.6,-24
1,2012-04-28,EC1,1,MIA,NYK,W (+33),32,10,14,0.714,1,1,1,11,14,0.786,1,3,4,3,4,0,2,32,29.9,35
2,2012-04-30,EC1,2,MIA,NYK,W (+10),41,8,18,0.444,0,3,0,3,7,0.429,1,6,7,9,2,0,2,19,16.4,10
3,2012-05-03,EC1,3,MIA,NYK,W (+17),36,9,21,0.429,2,5,0.4,12,13,0.923,2,6,8,5,2,0,8,32,19.2,23
4,2012-05-06,EC1,4,MIA,NYK,L (-2),41,9,21,0.429,2,5,0.4,7,8,0.875,0,4,4,4,1,0,5,27,13.9,-7
5,2012-05-09,EC1,5,MIA,NYK,W (+12),40,7,16,0.438,2,6,0.333,13,15,0.867,1,7,8,7,2,1,4,29,25.4,6
6,2012-05-13,ECS,1,MIA,IND,W (+9),43,12,26,0.462,0,3,0,8,10,0.8,6,9,15,5,2,1,1,32,29.5,12
